timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-09-25 18:08:35,0.00,11,100.00,20,unhealthy
2025-09-25 18:08:45,0.00,11,100.00,36,unhealthy
2025-09-25 18:09:02,0.00,11,100.00,16,unhealthy
2025-09-25 18:09:16,0.00,11,100.00,17,unhealthy
2025-09-25 18:09:31,0.00,11,100.00,17,unhealthy
2025-09-25 18:09:44,0.00,11,100.00,16,unhealthy
2025-09-25 18:10:00,0.00,11,100.00,16,unhealthy
2025-09-25 18:10:12,0.00,11,100.00,20,unhealthy
2025-09-25 18:10:27,0.00,11,100.00,34,unhealthy
2025-09-25 18:10:39,0.00,11,100.00,12,unhealthy
2025-09-25 18:10:56,0.00,11,100.00,32,unhealthy
2025-09-25 18:11:11,0.00,11,100.00,42,unhealthy
2025-09-25 18:11:30,0.00,11,100.00,16,unhealthy
2025-09-25 18:11:48,0.00,11,100.00,16,unhealthy
2025-09-25 18:12:04,0.00,11,100.00,44,unhealthy
2025-09-25 18:12:19,0.00,11,100.00,19,unhealthy
2025-09-25 18:12:35,0.00,11,100.00,16,unhealthy
2025-09-25 18:12:46,0.00,11,100.00,20,unhealthy
2025-09-25 18:12:57,0.00,11,100.00,12,unhealthy
2025-09-25 18:13:16,0.00,11,100.00,18,unhealthy
2025-09-25 18:13:32,0.00,11,100.00,22,unhealthy
2025-09-25 18:13:50,0.00,11,100.00,11,unhealthy
2025-09-25 18:14:02,0.00,11,100.00,26,unhealthy
2025-09-25 18:14:18,0.00,11,100.00,15,unhealthy
2025-09-25 18:14:34,0.00,11,100.00,39,unhealthy
2025-09-25 18:14:47,0.00,11,100.00,12,unhealthy
2025-09-25 18:15:00,0.00,11,100.00,17,unhealthy
2025-09-25 18:15:14,0.00,11,100.00,30,unhealthy
2025-09-25 18:15:26,0.00,11,100.00,17,unhealthy
2025-09-25 18:15:38,0.00,11,100.00,11,unhealthy
2025-09-25 18:15:52,0.00,11,100.00,12,unhealthy
2025-09-25 18:16:06,0.00,11,100.00,12,unhealthy
2025-09-25 18:16:24,0.00,11,100.00,12,unhealthy
2025-09-25 18:16:38,0.00,11,100.00,16,unhealthy
2025-09-25 18:16:54,0.00,11,100.00,73,healthy
2025-09-25 18:17:11,0.00,11,100.00,15,unhealthy
2025-09-25 18:17:23,0.00,11,100.00,45,unhealthy
2025-09-25 18:17:43,0.00,11,100.00,12,unhealthy
2025-09-25 18:18:00,0.00,11,100.00,23,unhealthy
2025-09-25 18:18:17,0.00,11,100.00,34,unhealthy
2025-09-25 18:18:35,0.00,11,100.00,16,unhealthy
2025-09-25 18:18:55,68.25,972.8,95.00,1082,unhealthy
2025-09-25 18:19:11,0.00,11,100.00,15,unhealthy
2025-09-25 18:19:31,68.19,808.7,78.97,3800,unhealthy
2025-09-25 18:19:46,0.00,11,100.00,15,unhealthy
2025-09-25 18:20:01,0.00,11,100.00,16,unhealthy
2025-09-25 18:20:13,0.00,11,100.00,13,unhealthy
2025-09-25 18:20:27,0.00,11,100.00,14,unhealthy
2025-09-25 18:20:43,0.00,11,100.00,14,unhealthy
2025-09-25 18:20:56,0.00,11,100.00,17,unhealthy
2025-09-25 18:21:12,0.00,11,100.00,15,unhealthy
2025-09-25 18:21:25,0.00,11,100.00,12,unhealthy
2025-09-25 18:21:38,0.00,11,100.00,21,unhealthy
2025-09-25 18:21:54,0.00,11,100.00,16,unhealthy
2025-09-25 18:22:10,0.00,11,100.00,15,unhealthy
2025-09-25 18:22:37,0.00,22.27,2.17,11122,unhealthy
2025-09-25 18:22:54,0.00,11,100.00,19,unhealthy
2025-09-25 18:23:10,0.00,11,100.00,45,unhealthy
2025-09-25 18:23:25,0.00,11,100.00,13,unhealthy
2025-09-25 18:23:43,69.51,1003,97.95,50,unhealthy
2025-09-25 18:24:13,65.58,63.96,6.25,12705,healthy
2025-09-25 18:24:18,0.00,11,100.00,32,healthy
2025-09-25 18:24:29,0.00,11,100.00,64,healthy
2025-09-25 18:24:43,0.00,11,100.00,14,unhealthy
2025-09-25 18:24:58,0.00,11,100.00,38,healthy
2025-09-25 18:25:18,69.06,693,67.68,6526,unhealthy
2025-09-25 18:25:33,0.00,11,100.00,69,healthy
2025-09-25 18:25:49,68.79,1002,97.85,219,unhealthy
2025-09-25 18:26:04,96.84,835.4,81.58,1910,unhealthy
2025-09-25 18:26:29,0.00,6.945,0.68,9887,healthy
2025-09-25 18:26:35,0.00,11,100.00,68,healthy
